ts_code,ensemble_score,rank
603259.SH,0.9478553636438289,1
002594.SZ,0.6204876235130498,2
601398.SH,0.4567704833499196,3
600036.SH,0.4203493994880028,4
601166.SH,0.37232899952998527,5
600585.SH,0.31824630393327347,6
600276.SH,0.3074834316919345,7
000333.SZ,0.30064234194452977,8
601888.SH,0.23696384091095724,9
000001.SZ,0.1861979918864669,10
002415.SZ,0.15206900328479694,11
601318.SH,0.13699582303309094,12
600900.SH,0.05214463635617111,13
300750.SZ,0.018574294239202416,14
600809.SH,0.01644980128313615,15
